loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,fico_score,month_of_year,ratio_loan_amnt_annual_inc,ratio_open_acc_total_acc,month_since_earliest_cr_line,ratio_pub_rec_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_pub_rec,charged_off
4000.0,36,9.76,128.62,5,10,2,90000.0,2,2012-03-01,3,0.87,3,0.0,2184.0,26.0,5,1,0,0,0,752.0,2,0.044444444444444446,0.6,432,0.0,0.0,-1.0,0
28000.0,36,8.9,889.09,4,7,0,110000.0,1,2012-03-01,0,2.26,5,0.0,14930.0,2.9,21,1,0,4,0,802.0,2,0.2545454545454545,0.23809523809523808,226,0.0,0.0,-1.0,1
7100.0,36,6.03,216.1,0,5,1,65000.0,0,2012-03-01,0,11.85,6,0.0,5965.0,42.0,20,1,0,0,0,752.0,2,0.10923076923076923,0.3,183,0.0,0.0,-1.0,0
24000.0,36,6.62,736.89,1,10,0,85000.0,2,2012-03-01,0,26.13,12,0.0,19049.0,35.9,38,1,0,5,0,772.0,2,0.2823529411764706,0.3157894736842105,215,0.0,0.0,-1.0,0
6100.0,60,15.81,147.73,13,4,1,55000.0,2,2012-03-01,8,7.17,13,0.0,3177.0,25.4,25,1,0,0,0,712.0,2,0.11090909090909092,0.52,143,0.0,0.0,-1.0,0
15000.0,36,15.81,525.95,13,6,1,42000.0,0,2012-03-01,4,18.74,8,0.0,5863.0,45.1,10,1,0,0,0,682.0,2,0.35714285714285715,0.8,64,0.0,0.0,-1.0,0
6500.0,36,6.62,199.58,1,2,2,33280.0,0,2012-03-01,0,5.63,8,0.0,5886.0,32.0,24,1,0,0,0,762.0,2,0.1953125,0.3333333333333333,264,0.0,0.0,-1.0,0
22325.0,36,12.12,742.79,7,1,0,87500.0,2,2012-03-01,0,14.34,15,0.0,31997.0,47.1,23,1,0,0,0,702.0,2,0.2551428571428571,0.6521739130434783,417,0.0,0.0,-1.0,0
22250.0,36,8.9,706.51,4,10,0,45000.0,2,2012-03-01,4,19.84,13,0.0,19259.0,41.8,29,1,0,0,0,747.0,2,0.49444444444444446,0.4482758620689655,263,0.0,0.0,-1.0,0
12250.0,36,13.11,413.41,8,0,1,24578.4,2,2012-03-01,0,19.63,11,0.0,10652.0,73.9,12,1,0,0,0,682.0,2,0.4984051036682615,0.9166666666666666,166,0.0,0.0,-1.0,0
35000.0,60,13.11,798.33,8,6,0,70000.0,2,2012-03-01,4,23.67,8,0.0,24748.0,75.0,23,1,0,0,0,747.0,2,0.5,0.34782608695652173,242,0.0,0.0,-1.0,0
3600.0,60,15.81,87.19,13,0,2,41448.0,1,2012-03-01,8,7.44,2,0.0,579.0,34.1,10,1,0,6,0,717.0,2,0.08685581933989578,0.2,152,0.0,0.0,-1.0,0
22250.0,60,23.26,630.57,28,10,0,48000.0,1,2012-03-01,0,18.13,5,0.0,11616.0,87.3,49,1,0,5,0,667.0,2,0.4635416666666667,0.10204081632653061,94,0.0,0.0,-1.0,1
20000.0,36,7.9,625.81,3,10,1,52000.0,2,2012-03-01,0,20.95,9,0.0,13169.0,29.0,26,1,0,3,0,752.0,2,0.38461538461538464,0.34615384615384615,196,0.0,0.0,-1.0,0
16000.0,36,13.99,546.77,10,8,1,72000.0,1,2012-03-01,0,8.28,15,0.0,17912.0,92.3,22,1,0,0,0,697.0,2,0.2222222222222222,0.6818181818181818,154,0.0,0.0,-1.0,0
14700.0,36,18.25,533.29,17,3,1,40668.0,0,2012-03-01,0,18.06,8,0.0,14272.0,82.5,12,1,0,0,0,662.0,2,0.3614635585718501,0.6666666666666666,90,0.0,0.0,-1.0,0
11900.0,36,7.62,370.83,2,0,1,25000.0,0,2012-03-01,8,5.9,9,0.0,7004.0,30.3,15,1,0,0,0,737.0,2,0.476,0.6,94,0.0,0.0,-1.0,0
11200.0,36,17.27,400.82,15,0,1,50000.0,2,2012-03-01,0,21.65,11,0.0,9446.0,91.3,22,1,0,0,0,672.0,2,0.224,0.5,127,0.0,0.0,-1.0,0
9700.0,36,7.9,303.52,3,0,2,51000.0,1,2012-03-01,0,22.0,9,0.0,13680.0,49.6,19,1,0,0,0,727.0,2,0.19019607843137254,0.47368421052631576,142,0.0,0.0,-1.0,0
8600.0,36,9.76,276.53,5,1,2,71760.0,0,2012-03-01,8,1.86,8,0.0,4320.0,9.7,23,1,0,3,0,707.0,2,0.11984392419175027,0.34782608695652173,145,0.0,0.0,-1.0,0
3600.0,36,7.9,112.65,3,5,1,39000.0,0,2012-03-01,0,27.51,18,1.0,1478.0,14.9,42,1,0,0,1,732.0,2,0.09230769230769231,0.42857142857142855,259,0.003861003861003861,0.003861003861003861,1.0,0
11500.0,36,17.27,411.56,15,10,1,66500.0,2,2012-03-01,0,5.03,5,0.0,10061.0,89.0,12,1,0,0,0,672.0,2,0.17293233082706766,0.4166666666666667,339,0.0,0.0,-1.0,0
10000.0,36,13.67,340.18,9,6,1,75000.0,1,2012-03-01,12,13.32,9,0.0,21836.0,74.3,29,1,0,0,0,692.0,2,0.13333333333333333,0.3103448275862069,196,0.0,0.0,-1.0,0
15000.0,36,9.76,482.32,5,10,0,75000.0,0,2012-03-01,1,22.4,10,0.0,22233.0,48.9,20,1,0,2,0,727.0,2,0.2,0.5,249,0.0,0.0,-1.0,1
4800.0,36,10.74,156.56,6,3,0,145000.0,0,2012-03-01,2,10.82,5,0.0,0.0,0.0,25,1,0,3,0,717.0,2,0.03310344827586207,0.2,205,0.0,0.0,-1.0,0
10000.0,36,6.03,304.36,0,10,0,115000.0,0,2012-03-01,1,13.16,15,0.0,9192.0,21.4,41,1,0,5,0,752.0,2,0.08695652173913043,0.36585365853658536,222,0.0,0.0,-1.0,0
7000.0,36,8.9,222.28,4,2,1,28000.0,0,2012-03-01,0,9.13,6,0.0,6038.0,88.8,7,1,0,0,0,712.0,2,0.25,0.8571428571428571,95,0.0,0.0,-1.0,0
2500.0,36,7.9,78.23,3,10,0,48000.0,0,2012-03-01,8,8.3,6,0.0,11040.0,70.8,25,1,0,5,0,722.0,2,0.052083333333333336,0.24,160,0.0,0.0,-1.0,0
12100.0,36,10.74,394.66,6,8,0,60616.0,0,2012-03-01,0,20.77,13,0.0,20334.0,46.9,35,1,0,0,0,722.0,2,0.1996172627689059,0.37142857142857144,138,0.0,0.0,-1.0,0
35000.0,36,13.99,1196.05,10,1,1,145000.0,1,2012-03-01,0,24.05,10,0.0,27644.0,92.1,41,1,0,0,0,727.0,2,0.2413793103448276,0.24390243902439024,476,0.0,0.0,-1.0,0
7200.0,36,12.12,239.56,7,3,1,45000.0,0,2012-03-01,0,21.84,9,0.0,9818.0,93.5,20,1,0,3,0,692.0,2,0.16,0.45,211,0.0,0.0,-1.0,0
25000.0,36,13.11,843.68,8,2,1,65000.0,2,2012-03-01,4,16.86,15,0.0,19400.0,62.4,36,1,0,0,0,712.0,2,0.38461538461538464,0.4166666666666667,241,0.0,0.0,-1.0,0
5000.0,60,12.12,111.53,7,9,1,29423.0,1,2012-03-01,5,0.61,9,0.0,361.0,12.9,16,1,0,0,0,722.0,2,0.16993508479760733,0.5625,140,0.0,0.0,-1.0,0
16000.0,60,17.99,406.21,16,1,1,51348.0,2,2012-03-01,0,20.73,16,0.0,15323.0,73.1,45,1,0,0,0,702.0,2,0.3115992833216484,0.35555555555555557,206,0.0,0.0,-1.0,0
12000.0,36,6.62,368.45,1,0,1,56000.0,1,2012-03-01,0,13.61,9,0.0,0.0,0.0,22,1,0,0,0,762.0,2,0.21428571428571427,0.4090909090909091,124,0.0,0.0,-1.0,0
