id,name,description,project_id,type_spec
1,train-dataset,Credit score dataset,1,dataset
2,test-dataset,Credit score dataset,1,dataset
3,RandomForest,Credit score model,1,model
31,loan_amnt,Credit score feature,1,feature
32,term,Credit score feature,1,feature
33,int_rate,Credit score feature,1,feature
34,installment,Credit score feature,1,feature
35,sub_grade,Credit score feature,1,feature
36,emp_length,Credit score feature,1,feature
37,home_ownership,Credit score feature,1,feature
38,annual_inc,Credit score feature,1,feature
39,verification_status,Credit score feature,1,feature
40,issue_d,Credit score feature,1,feature
41,purpose,Credit score feature,1,feature
42,dti,Credit score feature,1,feature
43,open_acc,Credit score feature,1,feature
44,pub_rec,Credit score feature,1,feature
45,revol_bal,Credit score feature,1,feature
46,revol_util,Credit score feature,1,feature
47,total_acc,Credit score feature,1,feature
48,initial_list_status,Credit score feature,1,feature
49,application_type,Credit score feature,1,feature
50,mort_acc,Credit score feature,1,feature
51,pub_rec_bankruptcies,Credit score feature,1,feature
52,fico_score,Credit score feature,1,feature
53,month_of_year,Credit score feature,1,feature
54,ratio_loan_amnt_annual_inc,Credit score feature,1,feature
55,ratio_open_acc_total_acc,Credit score feature,1,feature
56,month_since_earliest_cr_line,Credit score feature,1,feature
57,ratio_pub_rec_month_since_earliest_cr_line,Credit score feature,1,feature
58,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,Credit score feature,1,feature
59,ratio_pub_rec_bankruptcies_pub_rec,Credit score feature,1,feature
60,charged_off,Credit score feature,1,feature
61,loan_amnt,Credit score feature,1,feature
62,term,Credit score feature,1,feature
63,int_rate,Credit score feature,1,feature
64,installment,Credit score feature,1,feature
65,sub_grade,Credit score feature,1,feature
66,emp_length,Credit score feature,1,feature
67,home_ownership,Credit score feature,1,feature
68,annual_inc,Credit score feature,1,feature
69,verification_status,Credit score feature,1,feature
70,purpose,Credit score feature,1,feature
71,dti,Credit score feature,1,feature
72,open_acc,Credit score feature,1,feature
73,pub_rec,Credit score feature,1,feature
74,revol_bal,Credit score feature,1,feature
75,revol_util,Credit score feature,1,feature
76,total_acc,Credit score feature,1,feature
77,initial_list_status,Credit score feature,1,feature
78,application_type,Credit score feature,1,feature
79,mort_acc,Credit score feature,1,feature
80,pub_rec_bankruptcies,Credit score feature,1,feature
81,fico_score,Credit score feature,1,feature
82,month_of_year,Credit score feature,1,feature
83,ratio_loan_amnt_annual_inc,Credit score feature,1,feature
84,ratio_open_acc_total_acc,Credit score feature,1,feature
85,month_since_earliest_cr_line,Credit score feature,1,feature
86,ratio_pub_rec_month_since_earliest_cr_line,Credit score feature,1,feature
87,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,Credit score feature,1,feature
88,ratio_pub_rec_bankruptcies_pub_rec,Credit score feature,1,feature
89,charged_off,Credit score feature,1,feature
90,issue_d,Credit score feature,1,feature
9999,Generic ML Metrics,Credit score metric,1,feature
