id,pid,name,description,feature_type,min_value,max_value,datashape_id
31,0efa3a47-4f5e-4584-a651-0109d00cc884,loan_amnt,,Float,1000.0,35000.0,2
32,3acf6c56-c77a-4476-a79e-22dee38b438b,term,,Integer,36.0,60.0,2
33,7b402c48-740d-4914-acf9-81454e357a5f,int_rate,,Float,6.03,24.2,2
34,2c5e7c26-bec8-435b-8e2b-b1484f540c8d,installment,,Float,31.3,1350.84,2
35,d40bba2d-4791-46fb-95a4-fe8c1df4dea6,sub_grade,,Integer,0.0,30.0,2
36,3f0d29ad-08c8-445c-8738-2fbd0ea206f4,emp_length,,Integer,0.0,10.0,2
37,6eb937ec-90ce-4ca2-8c11-1f405af44292,home_ownership,,Integer,0.0,2.0,2
38,d531a0a9-6006-41da-af41-7e6cc959c098,annual_inc,,Float,10200.0,650000.0,2
39,a61c0a87-9226-4684-8fd1-72fd566b0312,verification_status,,Integer,0.0,2.0,2
40,69ea66f3-c1dc-405e-9265-013b08aca9fb,issue_d,,Categorical,0.0,0.0,2
41,1b0bb2e2-88fc-4c6e-b04c-484995ca14b7,purpose,,Integer,0.0,12.0,2
42,d640bc7f-0524-4a5b-9483-635c9ec8d571,dti,,Float,0.02,29.74,2
43,9c9d0b1c-6ed7-41a1-a194-300ba6fe61a2,open_acc,,Integer,2.0,25.0,2
44,8d4c1474-833a-4617-91fd-f8aa5d6d19a2,pub_rec,,Float,0.0,1.0,2
45,cd14e7f5-804c-4672-bfdc-5ce6925ad26f,revol_bal,,Float,0.0,119011.0,2
46,96675a04-9903-48e3-b423-d2c0b4da070d,revol_util,,Float,0.0,97.2,2
47,97a06ae3-8de0-4a98-bbba-3fa07c35a5c9,total_acc,,Integer,3.0,62.0,2
48,a11904c4-322e-4411-a427-4dcce37f2523,initial_list_status,,Integer,1.0,1.0,2
49,ba62e63c-cb71-4b20-a94a-2716fe71ed5b,application_type,,Integer,0.0,0.0,2
50,b259de51-980c-4ee9-95c2-4695e46201e7,mort_acc,,Integer,0.0,22.0,2
51,5d3486f3-6806-46a8-a679-8b167b2ac706,pub_rec_bankruptcies,,Integer,0.0,1.0,2
52,c1e40664-d1ec-4597-b73d-6a139895512a,fico_score,,Float,662.0,812.0,2
53,2bc5ffc9-c605-470e-abe4-821b5a4fb3c0,month_of_year,,Integer,3.0,3.0,2
54,7eb8f382-e5e1-4bc4-931c-68200ebb9c82,ratio_loan_amnt_annual_inc,,Float,0.025,0.5,2
55,cc558d56-1001-4cd1-8af9-5af0a077e587,ratio_open_acc_total_acc,,Float,0.1304347826086956,1.0,2
56,7785f91f-4d3b-4cf1-9714-e8d11ca23a86,month_since_earliest_cr_line,,Integer,49.0,510.0,2
57,aa74fcb5-3052-4e6c-8886-f1c8e7ca7170,ratio_pub_rec_month_since_earliest_cr_line,,Float,0.0,0.0099009900990099,2
58,e67ba8ca-137a-4913-ac3f-289bc70a8d22,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,,Float,0.0,0.0099009900990099,2
59,40df68a0-757a-4ccc-89ba-b2f1aaa4823a,ratio_pub_rec_bankruptcies_pub_rec,,Float,-1.0,1.0,2
60,336b062e-19d8-4e06-9bdc-e52d92165bd0,charged_off,,Integer,0.0,1.0,2
61,9e2727d1-fdfe-450b-8418-8a315930350c,loan_amnt,,Float,1000.0,35000.0,1
62,ae4fc576-21e4-4f85-ad60-54e348bed7ac,term,,Integer,36.0,60.0,1
63,7106eeb3-89d0-48a9-9673-6f1681c38623,int_rate,,Float,6.03,24.2,1
64,4e57688e-bd4e-418a-af20-1db1c50f1e34,installment,,Float,34.5,1318.45,1
65,4b2a0b2a-4ca6-4faf-9100-d22b0defa11e,sub_grade,,Integer,0.0,30.0,1
66,dc15644f-5b30-4398-834a-ecf452a8e146,emp_length,,Integer,0.0,10.0,1
67,c01eb6cf-19e1-4419-b4a0-b2da41eacce5,home_ownership,,Categorical,0.0,2.0,1
68,a8c6a0b9-c1f3-4ee4-beed-15ce30fec8ab,annual_inc,,Float,9600.0,327000.0,1
69,b557b565-e847-4577-ab2c-72aaa1b49b9e,verification_status,,Categorical,0.0,2.0,1
70,6270890e-d7fd-48d7-8d94-6c6184435884,purpose,,Categorical,0.0,12.0,1
71,18aaa916-b916-4bf8-af2e-89607668f90c,dti,,Float,0.11,29.52,1
72,99c01d4f-59e6-46cd-95b5-36fb8f3940ba,open_acc,,Integer,2.0,38.0,1
73,b90e2ddc-fc25-46f2-88fa-a75774b7cab4,pub_rec,,Float,0.0,1.0,1
74,9eee104a-95ee-427e-af76-57869d3749de,revol_bal,,Float,0.0,82989.0,1
75,ea13b378-8722-47bf-aba2-ebf75be480a9,revol_util,,Float,0.0,97.9,1
76,e5cc3911-239c-4862-9efc-3eceb3ab0694,total_acc,,Integer,4.0,63.0,1
